user_id,day_number,hour_of_day,is_evening_session,baseline_unlocks_per_hour,baseline_session_duration_s,baseline_notif_gap_s,unlock_count_per_hour,micro_session_duration_s,notif_to_unlock_gap_s,behavior_drift_score,time_phase_risk,voice_activity_detected,people_nearby_count,vad_confidence_score,bt_signal_strength,P_drift,presence_score,nudge_sent,user_response,is_phubbing
1,1,8,0,3.6,52,21.1,1.7,69,14.9,-0.2254,0.313,0,0,0.155,0.108,0.0,100.0,0,none,0
1,1,10,0,3.6,52,21.1,6.5,82,24.0,0.1562,0.22,1,1,0.949,0.871,0.0,100.0,0,none,0
1,1,11,0,3.6,52,21.1,5.0,32,8.1,0.4191,0.291,0,0,0.079,0.064,0.4,60.0,0,none,0
1,1,12,0,3.6,52,21.1,13.6,5,5.6,1.2658,0.658,1,1,0.711,0.822,0.8,20.0,1,ignore,1
1,1,13,0,3.6,52,21.1,2.4,30,28.3,-0.0631,0.276,1,3,0.969,1.0,0.2,80.0,0,none,0
1,1,17,0,3.6,52,21.1,7.8,28,1.6,0.7372,0.551,1,3,0.837,1.0,0.8,20.0,1,accept,1
1,1,18,0,3.6,52,21.1,9.6,15,3.3,0.8833,0.547,1,3,0.881,1.0,0.8,20.0,1,accept,1
1,1,19,1,3.6,52,21.1,8.7,5,3.2,1.0882,0.821,1,5,0.861,1.0,0.8,20.0,1,dismiss,1
1,2,10,0,3.6,52,21.1,1.6,61,13.8,-0.0656,0.21,0,0,0.175,0.038,0.0,100.0,0,none,0
1,2,13,0,3.6,52,21.1,17.5,5,6.2,1.5,0.551,1,3,0.727,1.0,1.0,0.0,1,ignore,1
1,2,13,0,3.6,52,21.1,7.6,5,5.1,0.9142,0.636,1,2,0.698,1.0,0.8,20.0,1,accept,1
1,2,13,0,3.6,52,21.1,1.0,71,9.7,-0.1022,0.287,1,3,0.723,1.0,0.0,100.0,0,none,0
1,2,15,0,3.6,52,21.1,3.7,35,25.6,0.1497,0.288,0,0,0.119,0.097,0.2,80.0,0,none,0
1,2,18,0,3.6,52,21.1,6.2,14,3.0,0.8005,0.743,1,1,0.942,0.615,0.8,20.0,1,accept,1
1,2,19,1,3.6,52,21.1,7.2,23,3.2,0.6377,0.773,1,3,0.835,1.0,0.8,20.0,1,dismiss,1
1,2,21,1,3.6,52,21.1,2.9,123,17.7,-0.3227,0.482,0,0,0.023,0.176,0.0,100.0,0,none,0
1,3,12,0,3.6,52,21.1,4.7,23,9.2,0.4876,0.286,0,1,0.5,0.717,0.4,60.0,0,none,0
1,3,13,0,3.6,52,21.1,8.3,16,3.3,0.7608,0.602,1,3,0.851,1.0,0.8,20.0,1,accept,1
1,3,17,0,3.6,52,21.1,2.6,58,12.3,0.0649,0.279,0,0,0.003,0.121,0.0,100.0,0,none,0
1,3,19,1,3.6,52,21.1,6.6,22,6.4,0.8065,0.951,1,3,0.648,1.0,0.8,20.0,1,accept,1
1,3,19,1,3.6,52,21.1,9.4,9,3.1,0.7575,0.791,1,3,0.955,1.0,0.8,20.0,1,accept,0
1,3,20,1,3.6,52,21.1,7.8,23,3.4,0.7077,0.744,1,1,0.572,0.823,0.8,20.0,1,accept,1
1,3,20,1,3.6,52,21.1,8.3,5,4.5,0.6967,0.859,1,1,0.881,0.71,0.8,20.0,1,dismiss,1
1,3,21,1,3.6,52,21.1,9.6,13,4.3,1.5,1.0,1,2,0.803,1.0,0.8,20.0,1,dismiss,1
1,4,9,0,3.6,52,21.1,7.5,11,2.8,0.7743,0.7,1,2,0.952,1.0,0.8,20.0,1,dismiss,1
1,4,14,0,3.6,52,21.1,4.0,50,16.3,0.0557,0.252,0,0,0.278,0.15,0.0,100.0,0,none,0
1,4,15,0,3.6,52,21.1,3.7,40,11.9,0.2356,0.255,0,0,0.072,0.097,0.0,100.0,0,none,0
1,4,16,0,3.6,52,21.1,3.0,64,19.5,-0.1718,0.321,0,0,0.06,0.084,0.0,100.0,0,none,0
1,4,16,0,3.6,52,21.1,5.0,49,14.2,0.2698,0.285,0,0,0.006,0.068,0.0,100.0,0,none,1
1,4,16,0,3.6,52,21.1,1.0,86,13.5,-0.4611,0.258,0,0,0.086,0.167,0.0,100.0,0,none,0
1,4,17,0,3.6,52,21.1,3.1,53,19.0,0.1409,0.198,0,0,0.084,0.193,0.0,100.0,0,none,0
1,4,18,0,3.6,52,21.1,8.6,29,34.3,0.3571,0.178,1,6,0.664,1.0,0.4,60.0,1,accept,0
1,5,8,0,3.6,52,21.1,9.6,5,5.4,1.0288,0.643,1,2,0.898,1.0,0.8,20.0,1,accept,0
1,5,9,0,3.6,52,21.1,4.9,60,41.7,-0.2125,0.218,0,0,0.066,0.025,0.0,100.0,0,none,0
1,5,12,0,3.6,52,21.1,3.5,25,8.5,0.2921,0.181,0,0,0.079,0.17,0.4,60.0,0,none,0
1,5,13,0,3.6,52,21.1,12.5,5,5.7,1.1285,0.698,1,2,0.732,1.0,1.0,0.0,1,dismiss,1
1,5,14,0,3.6,52,21.1,8.2,23,1.2,0.6397,0.718,1,3,0.624,1.0,0.8,20.0,1,accept,1
1,5,15,0,3.6,52,21.1,3.1,76,17.3,0.0275,0.232,0,0,0.066,0.111,0.0,100.0,0,none,0
1,5,16,0,3.6,52,21.1,5.0,26,7.8,0.3573,0.295,0,0,0.159,0.027,0.4,60.0,0,none,0
1,5,21,1,3.6,52,21.1,9.9,13,2.3,0.889,0.903,1,4,0.686,1.0,0.8,20.0,1,accept,1
1,6,10,0,3.6,52,21.1,1.1,43,28.3,-0.2091,0.29,1,1,0.634,0.631,0.0,100.0,0,none,0
1,6,13,0,3.6,52,21.1,2.1,27,20.5,0.0591,0.266,0,0,0.117,0.192,0.2,80.0,0,none,0
1,6,13,0,3.6,52,21.1,6.9,54,7.3,0.4275,0.243,0,0,0.035,0.128,0.2,80.0,0,none,0
